id,name,is_closed,review_count,zip_code,rating
QoJkq15vmAbTurjBfcjHpw,Harbor Fitness,False,213,11215,4.5
y-P3lXM-n1-O5GL-C04e7g,SevenBell Fitness,False,67,11238,5.0
roSWwjA_rBtCBG1iXDr9Kg,NYC Fitness Club,False,47,11204,3.0
sNa_0srnUEARgcrGzbvB-g,Absolute Power Fitness,False,120,11211,4.0
5-lxpusTcL7mDzYAgzme2Q,Greys Gym,False,19,11238,4.5
kYtuZxcze6wuh__1zIlpzQ,Slope Fitness,False,35,11215,4.5
3-2icbaf06GULtxzEpUHAA,Blink Fitness - Flatbush,False,78,11226,3.5
_SF9XNqNIjXRbFprf-F4oQ,Harbor Fitness Go,False,38,11229,4.0
gTi_vPKXtMBmh3vMM7NXHw,Park Fitness Gym,False,5,11218,5.0
xdXgfMFSigdQdtO3soqMiA,Crunch Fitness - Crown Heights,False,62,11203,3.5
D9Z60ezXfDUO289h6S4OXQ,Harbor Fitness,False,107,11209,4.5
A0I9yKu_hogweqQjXEtsMg,Chalk Gyms,False,125,11211,4.5
ZCeeP48lmI3kmvDAQnoy-g,Brooklyn Athletic Club,False,57,11249,4.5
gZ8IAsOLcqO4NRaC3DrdyQ,S&S Strength Bushwick,False,6,11221,5.0
IN6u0H3B3Xs_xkkACzdBpw,Retro Fitness,False,58,11226,4.0
cqrir4Q-dYrGP9YFtyiEpg,Equinox Brooklyn Heights,False,110,11201,3.0
u4U8I7lmfUFLrrlusVP2og,Planet Fitness,False,61,11225,3.0
ObgcZNF2kCjPH8E7XvOQNg,Murder of Crows Fitness,False,30,11238,4.5
w3MVYZjVaFOaZ4fw8nTcWg,Blink Fitness - Gates,False,101,11221,2.5
F3-wEQ-QO-4NHTLzjgMUXA,Noriwich Fitness,False,1,11203,5.0
CxkahEABIT-j_MAJDdusHg,Planet Fitness,False,33,11226,3.0
PApAGrvVxxlXfmwWHY-iNA,Planet Fitness,False,38,11216,3.0
LfFtWAUNwD3zT2zOOqYuKg,The New Body Project,False,36,11217,4.5
5Q4ahsVCw-8kpgdXa-QDMg,Tabata Ultimate Fitness,False,45,11238,5.0
IT6VbQNuuzhq9ptnVmcEvg,Harbor Fitness,False,53,11234,4.5
ak4KZi4D6LTO-iMKO87Qhw,Blink Fitness - Crown Heights,False,43,11213,3.0
uE2QQ4REKWjmKKpkRTAjBA,Blink Fitness - Bed Stuy,False,57,11216,2.5
Z1r9hC46ygHkyrAmkf-gtA,Orangetheory Fitness Brooklyn - Park Slope,False,31,11217,4.5
sN629ieIZfYGxmvfeiPC6g,The Fit In,False,9,11216,5.0
gACLEAHHwz7pVZmQFDlocQ,Brooklyn Sports Club,False,30,11239,3.5
IvkwOuyqj-4kUcEKuzLdSw,Global Strongman Gym,False,11,11238,5.0
LH1Nerbn5AsvnqE-_5wCpA,Crunch Fitness - Park Slope,False,230,11238,3.0
tmMaNx42TwEW_iJtii_AZw,Brooklyn Fitness,False,8,11232,5.0
Fd32Gs_Ss-bcUzlWyJszhA,Planet Fitness,False,118,11214,3.0
zHymXZr6L83-qKbmk3cO7Q,CrossFit Sunset Park,False,3,11220,5.0
QpB1t7C8hp0xLfyOVD_mMw,Alana Life & Fitness,False,44,11209,4.5
t4P99UqsmNJJlrPOAwKbcg,Bedford-Stuyvesant Branch YMCA,False,98,11216,3.5
33Usax0hC_A6xNx4_5A90g,S&S Strength Williamsburg,False,14,11206,5.0
4s_0FKgVPyHvVY2U3UZc2g,Murder of Crows Barbell Club,False,8,11238,4.5
QH7lVXh-yWNY7dliztNxIQ,Orangetheory Fitness Brooklyn-Midwood,False,3,11223,5.0
eofVrydtoKgOkTpH2DMfsw,Harbor Fitness GO! - Bay Ridge,False,10,11209,4.0
T5PKdaAGuSB1-cAbpmgncw,MatchPoint NYC,False,100,11223,3.0
DZc-_f9rGfXHrXmZfMW8iA,Blink Fitness - Sheepshead Bay,False,67,11235,3.5
YhYVsDT_c3MyJscVp1ttPQ,Ardon Sweet Science Gym,False,11,11232,5.0
E4nca2K0V0f7pp2I-AyQxg,Crunch Fitness - Flatbush,False,70,11226,3.0
-jE2ZRK2WVH6P2Mia6IG5g,Brooklyn Body,False,10,11217,4.5
WzFLaf_59vDo-5P1Xyn3-A,Gleason's Gym,False,28,11201,4.5
JXgvm8ViGyvemBBXYFv4fQ,Planet Fitness,False,11,11212,3.5
rOL9OzTQ7-xwc6r0fkRI7g,MatchPoint,False,2,11234,5.0
cyaM9MzkPFnyaYJTSqwN3Q,Manhattan Athletic Club - Brooklyn,False,24,11201,4.0
5b9Ue4Z9uYFAzW8ECooELw,Blink Fitness - Sunset Park,False,59,11220,2.5
WpqIpFsYiV0EMFRFQNjftg,Crunch Fitness - Ft Greene,False,145,11217,3.0
Om6__LNsNfarQi-IiSeCFA,Limitless Fitness,False,25,11414,4.5
0U46pBYwbNAqL5tqiv883A,HIIT BOX,False,43,11215,5.0
i27bUBdwOOsTtJMSbCf8Uw,Blink Fitness - Canarsie,False,22,11236,3.5
K_7DC5_xUu-Ri2S5VliBAQ,Crunch Fitness - Bushwick,False,85,11206,2.5
A4co7tjKaaT2bhcA2U0VhA,Retro Fitness,False,40,11215,3.5
EvEr9uDvg8hUQ5k86alH9g,Fitness Gallery,False,18,11229,4.5
03_o5a4YFF80WRDVhwZfJg,Flatbush CrossFit,False,5,11234,5.0
LXeZ-CZWIAVBCwqoki-eSg,Planet Fitness,False,18,11207,3.5
CUjUnhusOgq3EZ363eSL1Q,South Brooklyn Weightlifting Club,False,24,11217,5.0
kkB-tgG_FJOJraCM0z4Jlw,Prospect Park Branch YMCA,False,109,11215,3.5
Hx5lNPcJwH-GH6N-Iv9QQg,Bad Ass Academy,False,38,11220,4.5
Lszm-geabdAL5iLiVSXUnw,Sweatbox Brooklyn,False,8,11220,4.5
XUgM9mPhYDIuXDe01115aA,CrossFit Coney Island,False,6,11223,5.0
VMYUoekUd_iz7lrSZfTq0w,Planet Fitness,False,84,11206,2.5
892s5CMbb10DbV-g494wDw,LA Fitness,False,102,11414,2.5
jJYne2Ko5GR6uCETRP5KPw,9ROUND,False,3,11216,5.0
fi8rmf2OXII38WXeZ0Ca2A,Dolphin Fitness Clubs,False,74,11214,3.5
P296OXS_TPa_c_pP2GsSdg,Brooklyn Zoo NY,False,45,11206,4.0
lHhVqcUimifamBXq734pPA,Crossfit Outbreak - Bed Stuy,False,16,11221,3.5
ZgwsNUMBXTax9YYJvvGMoQ,New York Sports Clubs,False,114,11229,2.5
M_6BIcBpJkMw_ctQa203-A,Base,False,144,07302,4.0
qqpepqu7bz5ruM1AEtdXhQ,Jake's Fitness,False,10,11218,5.0
htX_I87ofeHaYrflcfx21Q,Eastern Athletic,False,58,11238,2.0
1o2k4eyvKls1dAg1pEB_AQ,Fitness First For Woman,False,1,11229,5.0
UZB2Qlo1gkRPhTbBK_fqRA,Blink Fitness - Junction,False,49,11210,3.0
2_RfYqUTaIZoXEbuS7EppA,Orangetheory Fitness Brooklyn - Brooklyn Heights,False,21,11201,4.0
SdnR2SZOUrH4p-MNpZvbkw,Blink Fitness - Bushwick,False,61,11237,2.5
heUQkE9FoeFrZnBMKrimZg,Chelsea Piers Fitness - Brooklyn,False,32,11217,3.5
H-z-cYOrugvj5IjDkTswqw,Bodhi Fitness Center,False,103,11354,4.0
-3IeoUTRfhRKAI4bUGb6-w,Pongo Power,False,25,11215,5.0
kpnDPfBt4Tu06yBCVj1jTg,Retro Fitness,False,83,11223,2.0
pK_GjkN-HQ_rAAIsBnjB6A,Powerhouse Gym - Bayside,False,57,11358,4.0
g6U_cqItMcGV3bFoNXeHsA,Elite Fitness Studio,False,28,11231,4.0
YTCX1Nnj8vi31hOssk-4EA,SESSION,False,13,11249,5.0
