id,business_id,text,rating
wy0xAIOx2RpsFIGyX8rQFg,SUHJfh7H2NiQx8c5OWoAyQ,"Fresh, delicious, quality ingredients. Pickup only but fast preparation time. Would definitely order again. Great for south/central Brooklyn eaters",5
1iYtTop3vU6sjDtTfQ1LwQ,SUHJfh7H2NiQx8c5OWoAyQ,Excellent quality sushi and sashimi and the Black Cod appetizer is also amazing. This is my go-to spot and I will drive there for take out because I'm just...,5
ud5z_QFV6ABWNzgKPGOshw,SUHJfh7H2NiQx8c5OWoAyQ,"They have individual seating - 5 pods- tables in each wooden cabin or pod.
The food is fresh and delicious.
We went for  a small birthday  gathering. We...",5
CPq75qj1iQJ9SDSmhKTT2A,e3JALGueMcc2eLXRK8HPNQ,"sushi is hands-down one of my favorite things in this entire world, and i had high expectations for this place. their sushi is seriously some of the best...",5
F7WXzjjvcYwIExQLSt62ag,e3JALGueMcc2eLXRK8HPNQ,"Ordered delivery from this place for the first time. I am very picky about my sushi, but the Fantastic Roll was nothing short of fantastic!! Will definitely...",5
0RGRB2NA1ppjmGeVzkAIdg,e3JALGueMcc2eLXRK8HPNQ,"Ordered delivery from Ki Sushi, but after this experience, I hope to be able to eventually experience their indoor dining one day. As someone who is a hard...",5
MMareJ6lNDVJb2GysdPMIg,LjAt-SP7BwIpp56TZHVsWA,"Wonderful little place on Bergen street that I've walked by many times and only half-noticed.  Happens to be two doors down from Cotton Bean, a Japanese...",5
_Zx14oEPkyK9as9ESCoqgA,LjAt-SP7BwIpp56TZHVsWA,"First of all, I just want to say that WE WILL BE BACK!
We had omakase dinner for two.
REALLY good quality food for really good price.
$65 for salad, 10...",5
mMTFuwulJAq6VxahUp8uIw,LjAt-SP7BwIpp56TZHVsWA,Ate here for the first time last week outside in their tent. The fish was extremely fresh some of the best sushi I have had since I've lived on the East...,5
apymAIhBjjYn5m5dxShI4g,EXsorzjQ3y3Oh5-m82lgtg,"Perk of living in NY is various restaurants you can try . During the pandemic, I still try my best to try new restaurants thru delivery apps. I came across...",5
Vc0-AyzRPS_3LN-JiV9qfg,EXsorzjQ3y3Oh5-m82lgtg,"Warning Sappy C-19 Message Below. 

New Yorkers, especially those local to Bushwick/Williamsburg who have the ability to order from your favorite places...",5
imAHq3TTL7ZV2tkbNxnbsw,EXsorzjQ3y3Oh5-m82lgtg,Visited this restaurant the other night - Sushi was delicious and service was excellent. Restaurant took all necessary COVID precautions. Would definitely...,5
PZ-IHWLPq-w9Cez8M5TwMg,LTfR_0NiS7OIRCfkaAJg9w,We have loved Silver Rice since their shop popped up in Crown Heights a few years ago. The pescatarians in our house say the fish is fresh and tasty. The...,5
RrfpdemZxQ9lakkplQuogA,LTfR_0NiS7OIRCfkaAJg9w,"This is my go to sushi place. I love that they let you select to not have plastic silverware in your takeout. The fish, sake and toppings are all quality....",5
iWIuHX7qxb1FNNFLchFkYA,LTfR_0NiS7OIRCfkaAJg9w,"It's been very challenging to find affordable and tasty sushi delivery. 

Luckily, Silver Rice covers two of those prerequisites for me 

The food was...",4
SHsaSIHetw7Cs2JHnF65Gg,HWPh33x1lrHvBu-DstSPLA,"We've ordered sushi a few times now from Daigo, and their rolls have been some of the best sushi I've had in a long time. This may be takeout sushi, but...",5
2NmgSRp8A4jlkEKaLlhm8g,HWPh33x1lrHvBu-DstSPLA,Got some takeout from here today and was very impressed with the quality and taste. They got the ratio of rice to fish spot on and the seasoning in the rice...,5
BYuhesrskeaYXFq6z9e48Q,HWPh33x1lrHvBu-DstSPLA,"This place is spot on with the sushi rice, the fresh fish, and the presentation of their food even when it's takeout. The sushi rice is definitely high...",5
Ita4QXmkQFXuaha1z4F-jA,KrJ6m_TkxBAPPSNH-G7rvQ,Ordered from seamless and my chopsticks came covered in mold. Anyway the food was good. Just be careful about takeout.,5
bUMF1ywa2zH2DKq2pWDCLw,KrJ6m_TkxBAPPSNH-G7rvQ,First time here. First of dinning return. Food was excellent. Ambiance was great. I would come back.,5
QoK6mcJipNYZVbVnQCIMWA,KrJ6m_TkxBAPPSNH-G7rvQ,"There was some real highlights, with one noticeable disappointment. 
Let me start with the good: bang bang, the bomb, very fresh sashimi and sushi sets, and...",4
YCihFdWQffVEXyUMSu8Ijw,0Lnp_fi3gI2bfJ8RcMDfjg,We've lived around the corner for over a year and didn't try this until we were too lazy to venture out of the neighborhood for sushi. Was totally knocked...,5
Q7XVrB6RHKEUP3q870RZ0Q,0Lnp_fi3gI2bfJ8RcMDfjg,Great food! Also cozy spot even outdoors.,5
95rHAjZCNrPO4-T_4AYVeg,0Lnp_fi3gI2bfJ8RcMDfjg,Honestly some of the best sushi I've ever had coming from this lovely unassuming place. Definitely a snug spot so better for smaller groups. Came here on my...,5
ZEHneEEjBVbDJr-9VUpG9A,AFt1Qcec4_JNr6PWpkRYyw,"February 2021: We got takeout coz we're still not comfortable dining in, so we couldn't have the full omakase. 

Called to order 2 sets of omakase sushi for...",5
